RK,TIERS,PLAYER NAME,TEAM,FAN PTS,PASSYDS,PASSTD,REC,RECYDS,RECTD,ATT,RUSHYDS,RUSHTD
312,13,Greg Dulcich,DEN,0,0,0,0,0,0,0,0,0
313,13,Kyren Williams,LAR,0,0,0,0,0,0,0,0,0
314,13,Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,0
315,13,Nick Westbrook-Ikhine,TEN,69.6,0,0,38,476,4,0,0,0
316,13,Dyami Brown,WAS,16.1,0,0,12,165,0,1,-4,0
317,13,Pierre Strong Jr.,NE,0,0,0,0,0,0,0,0,0
318,13,Devin Duvernay,BAL,44.2,0,0,33,272,2,7,50,0
319,13,Geno Smith,SEA,55.28,702,5,0,0,0,9,42,1
320,13,Tyler Conklin,NYJ,77.3,0,0,61,593,3,0,0,0
321,13,Justin Jackson,DET,64.2,0,0,22,178,0,68,364,2
322,13,Tyler Badie,BAL,0,0,0,0,0,0,0,0,0
323,13,Jalen Reagor,PHI,45.1,0,0,33,299,2,10,32,0
324,13,Harrison Bryant,CLE,41.3,0,0,21,233,3,0,0,0
325,13,Dontrell Hilliard,TEN,53.7,0,0,19,87,0,56,350,2
326,13,Quintez Cephus,DET,34.4,0,0,15,204,2,0,0,0
327,13,Ty Johnson,NYJ,83,0,0,34,372,2,61,238,2
328,13,Giovani Bernard,TB,36.1,0,0,23,123,3,8,58,0
329,13,Emmanuel Sanders,FA,89.7,0,0,42,626,4,2,31,0
330,13,Darrynton Evans,CHI,1.8,0,0,2,11,0,2,7,0
331,13,Ameer Abdullah,LV,51.5,0,0,38,289,1,51,166,0
332,13,Tevin Coleman,NYJ,40.5,0,0,11,49,0,84,356,0
333,13,Salvon Ahmed,MIA,26.6,0,0,12,117,0,54,149,0
334,13,Duke Johnson Jr.,BUF,55.1,0,0,4,41,0,71,330,3
335,13,Kyle Philips,TEN,0,0,0,0,0,0,0,0,0
336,13,Tommy Tremble,CAR,33.1,0,0,20,180,1,3,11,1
337,13,Chase McLaughlin,FA,93,0,0,0,0,0,0,0,0
338,13,Isaiah Likely,BAL,0,0,0,0,0,0,0,0,0
339,13,Donald Parham Jr.,LAC,39,0,0,20,190,3,0,0,0
340,13,Snoop Conner,JAC,0,0,0,0,0,0,0,0,0
341,13,Josh Lambo,FA,5,0,0,0,0,0,0,0,0
342,13,Desmond Ridder,ATL,0,0,0,0,0,0,0,0,0
343,13,Sam Darnold,CAR,170.28,2527,9,0,0,0,48,222,5
344,13,James Proche II,BAL,20.2,0,0,16,202,0,0,0,0
345,13,Jaylen Warren,PIT,0,0,0,0,0,0,0,0,0
346,13,Jerome Ford,CLE,0,0,0,0,0,0,0,0,0
347,13,Las Vegas Raiders,LV,65,0,0,0,0,0,0,0,0
348,13,Jalen Guyton,LAC,66.2,0,0,31,448,3,7,34,0
349,13,Cole Beasley,FA,77.3,0,0,82,693,1,0,0,0
350,13,Jaret Patterson,WAS,45.9,0,0,10,73,0,68,266,2
351,13,Jelani Woods,IND,0,0,0,0,0,0,0,0,0
352,13,Foster Moreau,LV,55.3,0,0,30,373,3,0,0,0
353,13,Jared Cook,FA,84.4,0,0,48,564,4,0,0,0
354,13,Tyquan Thornton,NE,0,0,0,0,0,0,0,0,0
355,13,Anthony Firkser,ATL,39.1,0,0,34,291,2,0,0,0
356,13,Danny Gray,SF,0,0,0,0,0,0,0,0,0
357,13,Ty Montgomery,NE,13.9,0,0,16,95,0,15,44,0
358,13,Cade York,CLE,0,0,0,0,0,0,0,0,0
359,14,Olamide Zaccheaus,ATL,58.8,0,0,31,406,3,1,2,0
360,14,Brett Maher,DAL,62,0,0,0,0,0,0,0,0
361,14,Detroit Lions,DET,58,0,0,0,0,0,0,0,0
362,14,Cade Otton,TB,0,0,0,0,0,0,0,0,0
363,14,T.Y. Hilton,FA,51.1,0,0,23,331,3,0,0,0
364,14,Khalil Shakir,BUF,0,0,0,0,0,0,0,0,0
365,14,James Washington,DAL,41.8,0,0,24,285,2,2,13,0
366,14,Atlanta Falcons,ATL,65,0,0,0,0,0,0,0,0
367,14,Malcolm Brown,FA,19.5,0,0,3,10,0,33,125,1
368,14,David Johnson,FA,49.3,0,0,32,225,1,67,228,0
369,14,Amari Rodgers,GB,5.6,0,0,4,45,0,1,11,0
370,14,John Metchie III,HOU,0,0,0,0,0,0,0,0,0
371,14,John Bates,WAS,30.9,0,0,20,249,1,0,0,0
372,14,Kene Nwangwu,MIN,19,0,0,4,9,0,13,61,0
373,14,Devontae Booker,FA,104.1,0,0,40,268,1,145,593,2
374,14,Keaontay Ingram,ARI,0,0,0,0,0,0,0,0,0
375,14,Demarcus Robinson,BAL,44.4,0,0,25,264,3,0,0,0
376,14,Rashard Higgins,CAR,33.5,0,0,24,275,1,0,0,0
377,14,Taysom Hill,NO,122.72,0,0,4,52,0,70,374,5
378,14,Latavius Murray,FA,93.6,0,0,10,75,0,119,501,6
379,14,Jauan Jennings,SF,58.2,0,0,24,282,5,0,0,0
380,14,Kylen Granson,IND,10.6,0,0,11,106,0,0,0,0
381,14,Devonta Freeman,FA,112.6,0,0,34,190,1,133,576,5
382,14,Josiah Deguara,GB,36.5,0,0,25,245,2,0,0,0
383,14,Malik Willis,TEN,0,0,0,0,0,0,0,0,0
384,14,DeeJay Dallas,SEA,39.1,0,0,21,133,0,33,138,2
385,14,Anthony Schwartz,CLE,23.4,0,0,10,135,1,6,39,0
386,14,Calvin Austin III,PIT,0,0,0,0,0,0,0,0,0
387,14,Houston Texans,HOU,87,0,0,0,0,0,0,0,0
388,14,Joey Slye,WAS,100,0,0,0,0,0,0,0,0
389,14,Benny Snell Jr.,PIT,11.1,0,0,2,13,0,36,98,0
390,14,Laquon Treadwell,JAC,49.4,0,0,33,434,1,0,0,0
391,14,Chris Conley,HOU,42.6,0,0,22,323,2,1,3,0
392,14,Austin Seibert,DET,42,0,0,0,0,0,0,0,0
393,14,Noah Brown,DAL,18.4,0,0,16,184,0,0,0,0
394,14,Dee Eskridge,SEA,18.3,0,0,10,64,1,4,59,0
395,14,Deonte Harty,NO,77.1,0,0,36,570,3,5,41,0
396,14,Wayne Gallman Jr.,FA,12.5,0,0,1,21,0,28,104,0
397,14,Teddy Bridgewater,MIA,209.68,3052,18,0,0,0,30,106,2
398,14,Zane Gonzalez,CAR,98,0,0,0,0,0,0,0,0
399,14,Equanimeous St. Brown,CHI,11.2,0,0,9,98,0,3,14,0
400,14,Travis Homer,SEA,45.8,0,0,16,161,0,21,177,1
401,14,Ashton Dulin,IND,32.5,0,0,13,173,2,3,32,0
402,14,Trestan Ebner,CHI,0,0,0,0,0,0,0,0,0
403,14,Tyler Johnson,TB,36,0,0,36,360,0,0,0,0
404,14,Brandon Bolden,LV,83.1,0,0,41,405,2,44,226,1
405,14,Tristan Vizcaino,NE,29,0,0,0,0,0,0,0,0
406,14,Jonathan Garibay,FA,0,0,0,0,0,0,0,0,0
407,14,Juwan Johnson,NO,39.9,0,0,13,159,4,0,0,0
